x, y, z
-1.184327,-0.739378,24.004919
0.923144,0.404131,22.271505
0.707193,0.128229,23.716949
0.672203,0.193426,23.917799
0.641818,0.101522,23.693321
-0.808411,-1.956755,24.712482
-0.018187,-1.900908,23.895350
0.218988,0.686189,22.771101
-0.062205,1.299588,22.982565
0.915073,0.410031,22.426348
0.705407,0.179908,23.913870
0.664056,-0.236812,23.302439
0.685186,0.044350,23.840544
-1.204217,-0.814812,24.027803
0.063518,-1.493275,24.147366
-0.674598,-1.491990,24.391909
0.008007,-1.822831,23.743223
0.520189,0.317394,24.414282
0.659886,0.341952,23.561459
-0.656341,0.673422,21.357304
-0.621343,0.580773,21.296949
0.708176,0.133963,23.430527
0.700264,0.087719,23.927717
0.587950,-0.765270,24.646292
-0.430229,-2.013566,24.164415
-0.887167,-0.174514,23.676674
0.657080,0.312248,24.009874
0.656889,0.317194,23.959425
0.167268,-1.491675,23.729565
-1.160270,0.571149,24.465170
0.099236,-1.460058,23.937864
-0.222802,-1.498997,24.183350
0.160002,-1.397803,23.936560
0.663581,0.019935,23.938585
-0.330037,-1.579116,24.202818
-1.631751,-1.641500,24.992805
-1.312763,-0.720205,24.378187
0.652747,-0.162542,24.021410
-0.135821,-1.619212,24.116938
-1.270418,0.537935,24.717709
-1.484384,0.611250,25.280003
-1.295730,-1.766723,25.023232
-1.273492,-1.739703,25.027031
-1.432022,-2.064457,25.634226
0.511481,0.203341,25.413092
-1.030217,0.826933,23.743059
0.071657,-1.418794,24.135174
-0.032005,-1.681611,24.086283
-0.228040,-1.566203,24.178577
-0.819148,-1.940301,24.693304
0.143835,-1.485629,23.986080
0.152675,-1.535907,23.837978
0.059140,-1.483034,24.117773
-0.732390,-1.600190,24.591970
0.148676,-1.410796,24.192179
-0.766613,-1.732231,25.079647
-0.705358,-1.628613,24.809357
-1.602841,-1.547230,25.197660
-1.500345,0.676458,25.594532
-1.523418,0.702775,25.664335
-0.540599,-1.241980,26.339247
-1.530539,0.589540,25.823601
-1.563387,-1.972400,26.059433
-1.053356,0.376170,26.684555
-1.372164,-1.337762,24.325815
-1.028739,0.802770,23.749229
-1.037006,-0.036660,24.008741
-1.300947,-0.790573,24.187838
-1.728960,-1.897556,24.916861
-0.564549,-1.829384,24.291857
-0.327635,-1.484391,24.303617
-0.724038,-1.587937,24.597610
-0.591704,-1.881674,24.388048
-1.484245,-0.894433,24.509954
-1.168149,-0.738892,23.972309
-0.263879,-1.481073,24.296024
-1.391398,-1.934884,25.115864
-1.270357,-1.800796,24.836246
-1.324371,-1.801985,25.177692
0.634444,-0.418179,24.470190
-1.590786,-1.664514,25.279684
-1.570368,-0.954718,25.975266
-1.335209,-2.271833,25.253349
-1.789169,-1.619529,26.320929
0.388970,0.082543,25.537313
-0.722281,0.394415,26.385170
-0.830007,0.426404,26.896309
-0.746077,0.410481,26.479866
-0.755915,0.401462,26.484892
-0.526611,0.481442,26.911768
-0.790603,0.425683,26.774454
-0.820874,0.425653,26.973846
-0.968859,0.798030,23.657732
-1.535927,-1.528721,24.578993
-1.620026,-1.665801,24.727793
-1.571744,-1.688004,24.651972
0.579736,-0.354375,24.029791
-1.245603,0.744893,24.685101
-1.606964,-1.332458,24.818523
0.147619,-1.358970,24.017670
-1.389083,0.624560,24.923069
-0.465809,-1.552526,24.419447
-1.650588,-1.581600,25.218493
-1.595453,-1.000432,26.050705
-1.694461,-0.995789,26.313978
-0.871683,-1.220327,27.124142
-0.786223,-1.263418,29.038595
0.005562,0.223487,25.776258
-0.591689,0.426128,26.497814
-0.595026,0.414276,26.468052
-0.577921,0.459635,27.116299
0.324751,0.225530,25.881550
-0.706688,-2.024891,25.996822
-0.423258,-1.082178,27.525059
-0.952881,-2.049841,27.080719
-1.298867,0.332795,26.782290
-0.964663,-2.107609,27.183470
0.732256,-0.243068,23.460775
0.653814,0.324501,23.751736
0.719771,0.328444,23.747046
0.057500,-1.505976,23.990593
-0.234329,-1.547795,24.138691
0.720306,0.305257,23.747843
0.062157,-1.469745,24.471966
0.050021,-1.411183,24.099442
-0.401843,-1.954809,24.035908
-1.211642,-2.221272,24.667267
-0.485000,-0.099738,25.422125
-0.239615,1.087788,25.082319
-0.540392,-1.584411,24.619688
0.734283,0.322797,23.269371
-1.182480,-1.608375,23.657267
0.736129,-0.269610,23.720266
-1.074085,-0.273743,24.002560
-1.188473,0.203888,24.372009
0.003180,-1.859747,23.821707
0.134425,-1.529080,24.069494
0.078348,-1.472114,24.101280
0.170531,-1.362044,24.085562
0.062294,-1.469362,24.483692
-1.014919,-0.155721,23.934546
-0.958480,-1.979576,23.827929
0.094422,-1.317204,24.129940
-0.640444,-1.480375,24.575392
-1.203089,-0.816429,24.025553
-1.376605,0.567392,24.983202
-1.177437,0.988032,24.566851
-1.331665,0.559604,24.868555
0.095783,-1.376131,24.015129
-0.591243,-1.463065,24.424559
0.075736,-1.574640,24.048761
-0.137928,-1.612890,24.108994
-1.010877,-1.992416,24.256454
0.066155,-0.690290,25.417700
-0.938450,0.727499,23.601526
-1.022171,0.729521,23.784336
-1.009998,-0.040501,23.961641
-1.024782,-2.065797,23.956841
-1.139229,-0.759919,23.885929
-0.834975,-2.007254,24.824915
-0.775734,-1.667356,24.723299
0.074828,-1.451480,24.216856
-0.427929,-2.005545,24.070862
-1.353576,-1.213619,24.418074
-0.587793,-1.459883,24.407621
-0.322064,-1.560720,24.155092
-1.127000,0.816605,23.994104
-1.249649,-0.765485,24.149492
-1.280993,-0.772111,24.234621
-1.290931,-0.383218,24.445225
0.156955,-1.400169,24.065372
0.103664,-1.568708,24.427637
0.612279,-0.369812,24.181761
-1.445759,-0.762051,24.668049
0.173683,-1.670243,24.095440
-1.231305,0.707268,24.645021
0.072636,-1.573935,24.039787
-1.308115,0.238279,24.660786
-0.302762,-1.535709,24.257034
-0.754851,-1.598731,24.746508
0.616995,-0.400245,24.431038
-1.374810,0.562523,25.110010
-1.453459,-1.927365,25.412519
-1.484969,-1.352292,25.045959
-1.385391,0.584334,25.234438
-1.425987,0.590939,25.293505
-1.472135,0.554890,25.571846
0.530732,0.083181,25.352934
-0.246085,0.295615,25.564724
0.515273,0.081707,25.475468
-0.047921,0.360620,25.765194
0.530536,0.084395,25.242537
-1.844780,0.692841,26.078194
0.269217,0.343833,25.537222
-0.061077,0.368595,25.707054
0.255082,0.354612,25.721228
0.474178,0.274449,25.581783
0.328712,0.570484,22.040154
0.722317,0.207493,23.157915
0.031125,1.284959,22.536695
-1.114259,-1.530082,23.501617
0.727892,0.335119,24.084797
0.738620,-0.266857,23.547384
-0.190876,-1.481703,24.149448
-0.865183,-1.999188,24.813942
0.136143,-1.578988,24.022934
-0.674158,0.331675,25.211754
-1.766986,-1.559375,25.566755
-1.547479,0.714186,25.365625
-1.658218,0.705499,25.533525
-1.583641,0.692934,25.613043
-1.545862,0.676041,25.546114
-1.369868,0.606830,25.292997
-1.474067,0.573633,25.585131
