x, y, z
-1.616569,-0.127343,26.080109
-1.752613,-0.698296,26.755661
-1.627904,-0.662265,26.436617
-1.754687,-0.105779,26.282701
-1.591143,-0.129715,26.048388
-1.852209,-0.119204,26.465422
-0.820124,-0.514058,23.281799
-0.695020,-0.338641,23.269043
-0.839629,-0.514002,23.294378
-1.195868,0.385309,23.929758
-1.592242,-1.877213,23.607143
-0.753668,-1.933049,23.923334
-0.863731,-1.942215,23.923813
-0.671493,-1.857759,23.823177
-1.296727,0.374896,24.056614
-0.795213,-1.909212,23.878017
-0.733790,-1.862521,23.810537
-1.746581,-1.758875,24.039875
-1.738469,-1.764793,24.043732
-1.643210,-2.166257,24.171251
-1.845441,-0.820137,24.235149
-1.931301,-0.781403,24.374878
-2.016995,-2.096420,24.293520
-1.820818,-2.313095,24.424513
-1.762050,0.254762,24.587465
-1.924606,-1.521150,24.687855
-2.169282,-1.717508,24.882431
-0.661610,-0.341674,26.105766
-2.049897,-2.307734,24.748026
-2.175742,-0.097430,25.461670
-1.637723,-1.538882,25.461887
-1.471612,-1.411261,25.808516
-0.521426,-0.321607,25.812168
-1.774816,-0.103482,25.915339
-1.601347,-2.745811,25.470129
-0.835573,-0.295140,26.043507
-0.895177,-0.288516,26.164255
-0.912339,-0.292311,26.208035
-1.679931,-2.771805,25.486361
-0.923898,-0.290440,26.245312
-0.824112,-0.301240,26.034349
-1.897182,-0.216850,26.140219
-1.961368,-2.457606,26.042692
-1.513862,-2.640989,25.306114
-0.864640,-0.301627,26.114737
-1.505482,-1.860941,23.558483
-1.774670,0.263905,24.471815
-1.643820,0.222942,24.544777
-1.201765,-1.172622,23.376356
-1.751365,0.244537,24.577751
-1.765490,0.264082,24.464067
-1.885066,0.173585,24.837978
-1.897389,0.193466,24.917347
-2.598507,-1.450424,25.405539
-0.734874,-0.298345,25.867638
-1.469292,-2.703577,25.234238
-1.672850,-0.103925,25.774969
-0.562065,-0.326822,25.866980
-2.358967,-1.587864,26.062365
-1.795080,-0.092809,25.966543
-2.081696,-1.814544,26.605930
-0.888367,-0.295065,26.146088
-1.960168,-1.771888,26.412189
-2.448796,-0.078527,26.632278
-2.097635,-0.079747,26.129082
-2.136688,-0.074186,26.176136
-2.804370,-0.124108,26.896301
-2.008718,-2.458497,25.971947
-1.999298,-0.748431,27.174028
-1.902296,-2.489284,26.080477
-1.958866,-0.659191,27.163645
-2.395964,-1.949943,26.904762
-1.149997,-2.209914,25.923426
-2.704761,-2.766574,25.760715
1.207961,0.161225,21.717144
0.842961,0.372148,22.782139
0.362234,1.123104,23.180708
0.972521,-0.217429,23.721281
-0.736533,-0.484176,23.291067
-1.091038,0.312559,23.823650
0.793203,-0.775846,24.032682
0.876660,-0.122406,23.976234
-1.127326,-2.171301,24.198292
-1.121399,-2.419155,24.089550
0.746976,-0.105075,24.353571
-0.697139,-0.248224,23.269732
1.038366,-0.181237,23.547821
0.659418,-0.049270,24.396523
0.613266,-0.175493,24.651112
0.777402,-0.351769,24.094122
-0.723319,-0.366209,23.287888
0.808790,-0.325322,24.055305
-1.015746,-1.076009,23.253513
0.869074,-0.725485,23.862349
-0.063192,-2.129021,23.931316
-0.035014,-1.990705,23.944799
-1.563906,-2.642841,23.968977
-0.474911,-2.066179,23.860031
-0.983337,0.609796,25.588587
0.016054,-0.355563,25.019808
0.160615,-0.310777,24.724527
0.793417,-0.086044,24.021595
-0.984041,-1.085350,23.228571
-0.965126,-1.494973,23.162643
-0.870350,-1.936807,24.064291
-1.060693,-2.355307,23.992640
0.254169,-0.191939,24.812313
-0.674631,-0.497377,25.189859
-0.795796,-0.288963,25.594967
-1.156244,-0.393759,24.736843
-0.424659,-1.137015,25.028261
-1.376530,-0.099404,25.825687
0.799556,-0.120154,24.203455
-1.190152,-1.915051,23.093260
0.819329,-0.051582,24.290670
-1.262361,0.698022,24.131929
-1.401091,0.202249,24.149139
-1.057301,-2.082393,24.133013
0.593110,-0.148291,24.399759
-0.863869,-1.967814,24.028913
-1.767912,-2.871941,24.096611
-0.912296,-1.940042,24.125340
-0.518268,-2.479019,23.669195
0.217348,-0.318255,25.262520
-1.701779,-2.259773,24.287531
-2.145943,-2.097878,24.456184
-1.723022,-1.702584,24.086290
-1.620221,-2.019361,24.091738
0.978549,-0.069849,23.765507
0.703683,-0.177699,24.120611
-1.074906,-1.052994,23.332880
-1.072470,-1.064461,23.306660
-0.987626,-1.026020,23.251503
0.037240,-2.101103,23.887056
0.072031,-1.871672,23.980755
0.757783,-0.140914,24.208342
-0.622926,-1.963133,23.921396
0.060408,-2.137937,23.838894
0.008420,-2.070739,23.969387
-0.422440,-2.019490,23.780752
-0.653092,-1.844586,23.811209
0.456768,-0.910501,24.484653
-0.470301,-2.057700,23.845562
-1.498591,0.169605,24.304327
-1.807709,0.206644,24.640099
-0.629315,-0.174678,25.534904
-1.067625,-0.172030,26.330292
-1.782730,-1.769401,24.121113
-1.636042,0.197310,24.508450
0.398123,-2.052138,23.694065
0.150710,-0.454784,25.163063
-1.718620,-2.014668,24.206230
0.121544,-0.460511,25.240398
-1.758682,0.102169,25.045734
0.659516,-0.133042,24.297623
0.786493,-0.144906,24.106613
0.001950,-2.076084,23.975615
0.713808,-0.127465,24.121674
-0.412273,-2.365414,23.493425
-0.400801,-1.930033,23.908985
0.799952,-0.766836,24.013590
0.941852,-0.253434,23.759415
0.802457,-0.731178,23.824831
-0.994583,-1.083065,23.238037
-1.207001,-1.663954,23.345377
-0.090144,-1.962720,24.027954
0.606516,-1.158631,24.122337
0.226463,-0.165916,25.000010
-1.626709,-1.749982,23.887098
-1.489995,0.214011,24.243662
0.384456,-0.974361,24.739176
-1.516360,-2.080552,24.090605
0.044646,-0.370027,25.358973
-1.889722,-1.991857,24.197880
-2.106490,-1.415032,24.934895
-2.050024,-1.366226,24.883110
-1.387400,-0.130187,25.751091
-1.224846,-0.130783,26.113188
-1.220388,-0.128592,26.085243
-0.998433,-0.597660,23.361851
-1.176005,-0.812702,23.459068
-1.152873,-1.075933,23.395266
-1.337994,0.446707,24.061562
-1.762786,0.265503,24.682789
-2.001086,-0.819428,24.417969
-1.878366,-0.001383,24.529701
-1.744033,0.238604,24.567726
-1.829467,0.005666,24.460871
-1.702279,0.237459,24.609097
-1.902109,-0.761226,24.356773
-1.993823,-0.841656,24.403189
-1.880427,-0.826894,24.314949
-1.774486,0.182998,24.701729
-1.998462,-1.836480,24.291471
-1.803879,-2.087649,24.379799
-2.030917,-1.239174,24.896532
-2.251258,-2.459559,24.956245
-0.969845,-0.344250,26.100197
-0.997709,-0.332234,26.200058
-2.114175,-1.716411,25.966927
-2.112354,-0.093592,26.172258
-1.959973,-2.556066,26.031340
-1.620574,-0.297038,26.503654
-1.841966,-2.496059,26.151447
-1.888019,-0.301224,26.945431
-2.376969,-0.922804,26.821213
-1.324096,-0.341546,26.595398
-1.752087,-0.306637,26.690685
-2.682703,-2.425892,25.855017
-1.787503,-2.593904,26.078531
-1.849180,-0.737986,26.885527
-2.305287,-0.062533,26.410553
-1.837426,-2.521307,25.999321
